127.0.0.1 - - [01/Jan/2021:15:11:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:11:39 +0900] "GET /MvcPj HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:11:40 +0900] "GET /MvcPj/ HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:11:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:11:52 +0900] "GET /MvcPj/ HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:11:54 +0900] "GET /MvcPj/sm/sm.do HTTP/1.1" 200 2948
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:12:07 +0900] "GET /MvcPj/sm/sm.do?m=write HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:12:07 +0900] "GET /MvcPj/sm/write_jsp.jsp HTTP/1.1" 200 3072
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:12:07 +0900] "GET /MvcPj/js/check.js HTTP/1.1" 200 436
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:12:17 +0900] "POST /MvcPj/sm/sm.do?m=insert HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:12:17 +0900] "GET /MvcPj/sm/sm.do HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:12:20 +0900] "GET /MvcPj/sm/sm.do?m=selectCon&seq=34 HTTP/1.1" 200 954
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:12:23 +0900] "GET /MvcPj/sm/sm.do?m=upSelCon&seq=34 HTTP/1.1" 200 2550
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:12:29 +0900] "POST /MvcPj/sm/sm.do?m=update HTTP/1.1" 500 3198
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:15:52 +0900] "GET /MvcPj/sm/sm.do HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:15:53 +0900] "GET /MvcPj/sm/sm.do?m=selectCon&seq=26 HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:15:56 +0900] "GET /MvcPj/sm/sm.do HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:15:58 +0900] "GET /MvcPj/sm/sm.do?m=selectCon&seq=26 HTTP/1.1" 200 980
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:16:00 +0900] "GET /MvcPj/sm/sm.do?m=upSelCon&seq=26 HTTP/1.1" 200 2576
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:16:07 +0900] "GET /MvcPj/ HTTP/1.1" 200 310
0:0:0:0:0:0:0:1 - - [01/Jan/2021:15:16:09 +0900] "GET /MvcPj/sm/sm.do HTTP/1.1" 200 3196
